timestamp,EEG1,EEG2,EEG3,EEG4,EOG
0.000000,3.395735,10.586395,13.300108,10.541709,43.099790
0.004000,5.869523,11.865066,12.573029,8.672250,43.930101
0.008000,8.014119,12.314468,11.296560,6.949297,44.651435
0.012000,9.576294,12.013292,9.807887,5.551469,45.254205
0.016000,10.431861,11.178252,8.393302,4.457864,45.729902
0.020000,10.604491,10.086364,7.202517,3.493925,46.071526
0.024000,10.242770,8.985338,6.219361,2.441074,46.273696
0.028000,9.565391,8.019591,5.295866,1.160596,46.332766
0.032000,8.790123,7.197263,4.238004,-0.314999,46.246990
0.036000,8.068306,6.406174,2.907898,-1.763193,46.016574
0.040000,7.444804,5.474365,1.306590,-2.832133,45.643675
0.044000,6.854987,4.252333,-0.395483,-3.162339,45.132385
0.048000,6.158175,2.689836,-1.892731,-2.521224,44.488560
0.052000,5.198403,0.880213,-2.832674,-0.900742,43.719869
0.056000,3.871513,-0.944692,-2.929446,1.460111,42.835393
0.060000,2.179313,-2.467482,-2.061722,4.138310,41.845500
0.064000,0.251174,-3.371125,-0.321874,6.652299,40.761629
0.068000,-1.672686,-3.431098,2.001953,8.606744,39.595865
0.072000,-3.292965,-2.583819,4.505161,9.800426,38.361026
0.076000,-4.325296,-0.950007,6.781518,10.263729,37.069845
0.080000,-4.572816,1.195159,8.534030,10.210152,35.735059
0.084000,-3.978431,3.495734,9.645533,9.925683,34.368901
0.088000,-2.640572,5.609509,10.185815,9.639020,32.983220
0.092000,-0.787777,7.294675,10.355929,9.424259,31.588770
0.096000,1.279741,8.460639,10.390201,9.173754,30.195313
0.100000,3.265911,9.169431,10.453331,8.651426,28.811426
0.104000,4.949140,9.588225,10.569776,7.605488,27.444304
0.108000,6.227154,9.910605,10.611271,5.895604,26.100024
0.112000,7.125890,10.273171,10.347255,3.583849,24.783067
0.116000,7.768135,10.696257,9.539584,0.951588,23.496657
0.120000,8.315678,11.068586,8.048218,-1.565349,22.242809
0.124000,8.900979,11.181800,5.907781,-3.504651,21.022315
0.128000,9.571112,10.803160,3.347809,-4.518875,19.835244
0.132000,10.261459,9.763324,0.745252,-4.482378,18.680669
0.136000,10.807686,8.028948,-1.473914,-3.521163,17.557126
0.140000,10.992263,5.735992,-2.953407,-1.958883,16.462764
0.144000,10.612658,3.172465,-3.504359,-0.197630,15.395715
0.148000,9.550492,0.711584,-3.151459,1.420010,14.354017
0.152000,7.819728,-1.280865,-2.110013,2.716450,13.335984
0.156000,5.580038,-2.538954,-0.705165,3.713616,12.340361
0.160000,3.109365,-2.960034,0.739133,4.585688,11.366388
0.164000,0.743802,-2.619505,2.001666,5.551390,10.414155
0.168000,-1.200355,-1.733682,3.022180,6.748601,9.484321
0.172000,-2.498481,-0.583281,3.895590,8.143919,8.578396
0.176000,-3.064312,0.576839,4.807205,9.513400,7.698587
0.180000,-2.958508,1.592666,5.933099,10.503560,6.848034
0.184000,-2.357599,2.447176,7.343961,10.753308,6.030337
0.188000,-1.493139,3.245839,8.947603,10.028505,5.249731
0.192000,-0.579599,4.158315,10.493350,8.319518,4.510820
0.196000,0.247143,5.336626,11.638336,5.864002,3.818440
0.200000,0.962400,6.837179,12.053664,3.084574,3.177592
0.204000,1.647466,8.575048,11.534478,0.461997,2.593068
0.208000,2.448878,10.326448,10.074749,-1.608224,2.069363
0.212000,3.514580,11.779450,7.880816,-2.924578,1.610541
0.216000,4.928126,12.619228,5.317714,-3.516573,1.219972
0.220000,6.660205,12.619783,2.806888,-3.596209,0.900338
0.224000,8.556128,11.714107,0.707570,-3.448291,0.653381
0.228000,10.360558,10.019250,-0.775665,-3.299619,0.479893
0.232000,11.776404,7.808530,-1.630877,-3.222563,0.379673
0.236000,12.538899,5.439415,-2.010029,-3.107862,0.351534
0.240000,12.486315,3.258453,-2.146722,-2.717943,0.393297
0.244000,11.603741,1.514218,-2.250547,-1.799940,0.501914
0.248000,10.029181,0.304233,-2.417110,-0.212491,0.673532
0.252000,8.019450,-0.428784,-2.587066,1.982784,0.903689
0.256000,5.885674,-0.850978,-2.568397,4.504056,1.187402
0.260000,3.916224,-1.159802,-2.114420,6.915279,1.519397
0.264000,2.310628,-1.499406,-1.029109,8.753050,1.894341
0.268000,1.141754,-1.900082,0.738573,9.668964,2.306949
0.272000,0.357115,-2.260295,3.046432,9.535596,2.752311
0.276000,-0.183356,-2.378853,5.575216,8.477520,3.225872
0.280000,-0.644517,-2.026227,7.907535,6.816641,3.723852
0.284000,-1.148594,-1.031953,9.641558,4.953553,4.243210
0.288000,-1.724272,0.641861,10.503682,3.229319,4.781862
0.292000,-2.288409,2.864573,10.420574,1.820845,5.338595
0.296000,-2.666078,5.353609,9.528749,0.705580,5.913307
0.300000,-2.643512,7.738069,8.117463,-0.290995,6.506860
0.304000,-2.037595,9.651363,6.526967,-1.387237,7.121095
0.308000,-0.761905,10.824190,5.037268,-2.720361,7.758716
0.312000,1.132110,11.149319,3.787049,-4.255719,8.423084
0.316000,3.451622,10.698930,2.748480,-5.767778,9.118193
0.320000,5.898315,9.688815,1.767148,-6.901892,9.848414
0.324000,8.134229,8.403204,0.649797,-7.294877,10.618217
0.328000,9.860660,7.104072,-0.733442,-6.710854,11.432102
0.332000,10.884910,5.954719,-2.368910,-5.138924,12.294058
0.336000,11.159867,4.981304,-4.074935,-2.815395,13.207658
0.340000,10.782484,4.085049,-5.540662,-0.161610,14.175676
0.344000,9.954265,3.098511,-6.417961,2.342316,15.199912
0.348000,8.916018,1.867704,-6.434352,4.300270,16.280844
0.352000,7.875566,0.329700,-5.488444,5.510928,17.417779
0.356000,6.951173,-1.439048,-3.693343,6.002813,18.608543
0.360000,6.146966,-3.222806,-1.353007,5.987078,19.849448
0.364000,5.366088,-4.715490,1.121747,5.746646,21.135370
0.368000,4.458579,-5.604326,3.328476,5.507048,22.459455
0.372000,3.286773,-5.662186,4.983428,5.338941,23.813681
0.376000,1.789516,-4.818520,5.986175,5.131359,25.188623
0.380000,0.022359,-3.186559,6.421893,4.645520,26.573847
0.384000,-1.836601,-1.037892,6.500417,3.627143,27.957700
0.388000,-3.521315,1.269333,6.456659,1.934365,29.328127
0.392000,-4.740918,3.384159,6.448625,-0.371555,30.672516
0.396000,-5.255189,5.051497,6.490780,-3.008739,31.978129
0.400000,-4.939664,6.167162,6.446711,-5.540685,33.232379
0.404000,-3.821869,6.783459,6.084005,-7.502829,34.422877
0.408000,-2.077347,7.065790,5.171348,-8.545440,35.538131
0.412000,0.012785,7.215153,3.582847,-8.539632,36.567456
0.416000,2.131749,7.383467,1.370532,-7.608262,37.501332
0.420000,4.003359,7.610918,-1.221105,-6.071326,38.331594
0.424000,5.453157,7.805796,-3.806832,-4.327953,39.051414
0.428000,6.438642,7.774197,-5.963423,-2.718156,39.655701
0.432000,7.038378,7.290063,-7.347214,-1.417217,40.140956
0.436000,7.407442,6.181719,-7.789072,-0.401986,40.505361
0.440000,7.711081,4.407363,-7.334070,0.502194,40.748668
0.444000,8.059406,2.091463,-6.213650,1.513276,40.872241
0.448000,8.462262,-0.488432,-4.760358,2.768061,40.878889
0.452000,8.819318,-2.964114,-3.296026,4.230947,40.772678
0.456000,8.947909,-4.968402,-2.032209,5.675084,40.558796
0.460000,8.641207,-6.228552,-1.017058,6.743862,40.243357
